"File","Id","Status","Matched","Lines","OssLines","Vendor","Component","Version","Latest","Licenses","OssFile","ReleaseDate","Url","Purl","SourceHash","FileHash"
"cmd/genicon/main.go","snippet","pending","4%","127-133","226-232","golang","github.com/diodechain/diode_client","v0.0.0-20260430135537-6745a6e150cb","v1.18.9","BSD-3-Clause","cmd/diode/tray_impl.go","2026-05-01","https://proxy.golang.org/github.com/diodechain/diode_client/@v/v0.0.0-20260430135537-6745a6e150cb.zip","pkg:golang/github.com/diodechain/diode_client | pkg:github/diodechain/diode_client","df9fe1ecf89179579a75174c0d9c925c","0667e3152ec567df9197f63194301ca7"
"internal/api/auth/cookie.go","snippet","pending","39%","32-53","347-368","jbrodriguez","unbalance","2026.04.25","2026.04.25","MIT","daemon/services/server/auth.go","2026-04-25","https://github.com/jbrodriguez/unbalance","pkg:github/jbrodriguez/unbalance","f9615bbbe0da4d99fecb9ee3e8fe475f","6051c8f4f98812c444543f3567c6e350"
"internal/api/combo/permanent_delete_handler_test.go","snippet","pending","59%","32-79","1192-1239","golang","github.com/uwaserver/uwas","v0.8.10-0.20260711235416-6ce144e75229","v0.8.10-0.20260711235416-6ce144e75229","AGPL-3.0","internal/admin/admin_coverage15_test.go","2026-07-14","https://proxy.golang.org/github.com/uwaserver/uwas/@v/v0.8.10-0.20260711235416-6ce144e75229.zip","pkg:golang/github.com/uwaserver/uwas","b51d0ba5a2c99f820384c1a459bcbf2a","ebbd65f725adba129af363fc4b6aeef8"
"internal/api/debug/handler.go","snippet","pending","12%","132-151","209-228","AmarsDing","aranea-agents","v0.1.0","v0.1.0","MIT","cmd/migrate-sqlite-to-postgres/migrator.go","2026-07-14","https://github.com/AmarsDing/aranea-agents","pkg:github/amarsding/aranea-agents","78149a8702c1c882ce58297556e9c698","b6965ea0d2b0d41a1d05d7d384ffe59e"
"internal/api/middleware/logger.go","snippet","pending","28%","46-72","146-172","golang","github.com/dev-igorcarvalho/don","v0.0.1-beta","v0.0.1-beta","MIT, GPL-3.0-only","pkg/server/echoserver/middleware.go","2026-06-29","https://proxy.golang.org/github.com/dev-igorcarvalho/don/@v/v0.0.1-beta.zip","pkg:golang/github.com/dev-igorcarvalho/don | pkg:github/dev-igorcarvalho/don","701e2fa2430480a27f220b731ea1e962","c27fbe1150ea6500a33dfc8c4c83a0f4"
"internal/desktop/tray_windows.go","snippet","pending","15%","25-41,92-108,188-200,265-273,357-368","136-152,120-136,274-286,374-382,577-588","Zzz-IT","GoclashZ","v1.2.2","v1.2.2","MIT","tray_runtime_windows.go","2026-06-30","https://github.com/Zzz-IT/GoclashZ","pkg:github/zzz-it/goclashz","a3bc22f0364bb5ed39de60b13566c83a","919155a24b40914fc6ca4aeaa272fda7"
"internal/infra/log/log.go","snippet","pending","34%","55-84","36-65","kimzhong","fc-inventory","v2.0.1","v2.0.1","MIT","internal/logging/logging.go","2026-06-06","https://github.com/kimzhong/fc-inventory","pkg:github/kimzhong/fc-inventory","4e39a336e295161f77ed2207fa37456f","00510eaf9c3c4d1e4f07b308a40379fd"
"internal/service/auth/password.go","snippet","pending","21%","48-68","87-107","golang","github.com/benedictemarty/bbsoric","v0.1.3-alpha","v0.1.3-alpha","","server/internal/user/user.go","2026-07-05","https://proxy.golang.org/github.com/benedictemarty/bbsoric/@v/v0.1.3-alpha.zip","pkg:golang/github.com/benedictemarty/bbsoric","64585ec25ba5dcfba7a82a74138f8da3","b4166b0bbf2e29bf85b6317b1a4e837b"
"internal/service/validation/result.go","snippet","pending","61%","39-109","96-166","vrooli","vrooli","v3.1.0","7b17b39","AGPL-3.0, AGPL-3.0-only","scenarios/test-genie/api/internal/requirements/types/errors.go","2026-01-09","https://github.com/vrooli/vrooli","pkg:github/vrooli/vrooli | pkg:golang/github.com/vrooli/vrooli/scenarios/vrooli-events","68d3f4b3ecdfbd81a8dddf6e4ae4f62a","eaffd7d64f1d0529303856fe1e4a0883"
"web/src/components/Footer.test.tsx","snippet","pending","11%","56-63","45-52","perisicnikola37","dev-to-rater","f8d6e3a","7e87122","MIT","frontend/src/components/wrappers/__tests__/breadcrumb.test.tsx","2025-04-29","https://github.com/perisicnikola37/dev-to-rater","pkg:github/perisicnikola37/dev-to-rater","98d5bd5049f0582bcd287b4a35635a06","1f712c75ab7d4aca2abbe037e0d26d6e"
"web/src/components/ui/accordion.tsx","file","pending","100%","all","all","utmist","utmist2","39d05aa","39d05aa","Apache-2.0","app/common/ai2/ui/accordion.tsx","2025-02-28","https://github.com/utmist/utmist2","pkg:github/utmist/utmist2","1543fc386d0aba4654f3199bf017eaab","1543fc386d0aba4654f3199bf017eaab"
"web/src/components/ui/alert-dialog.tsx","snippet","pending","95%","6-145","4-143","z-korp","zkube","2576b30","be5d501","MIT","client/src/ui/elements/alert-dialog.tsx","2024-11-30","https://github.com/z-korp/zkube","pkg:github/z-korp/zkube","361f179d7a9271c9aa31a060b960c547","04049e1376988f830d188cbb3104c999"
